customer_id,age,card_tier,tenure_months,income_annual,credit_limit,current_utilization,utilization_3m_change,avg_monthly_spend,annual_spend,spend_3m_vs_12m,days_since_last_txn,transaction_count_monthly,late_payment_count_12m,interest_paid_12m,support_tickets_12m,complaint_tickets_12m,app_session_frequency_monthly,competitor_offer_received,interchange_revenue_annual,annual_fee,reward_cost_annual,servicing_cost_annual,annual_net_margin,churn_prob_true,churn_label
CC-10000,71,Standard,27,51165,8649,0.095,0.0235,413,4956,0.2987,119,7,0,0.0,4,1,13,1,86.73,0,49.56,137.36,-100.19000000000001,0.9782,1
CC-10001,60,Black,65,289055,100000,0.0843,-0.141,4238,50856,0.9797,8,52,0,0.0,1,0,15,0,1271.4,495,1525.68,96.43,144.28999999999996,0.0551,1
CC-10002,27,Gold,98,68966,18987,0.0973,-0.0269,928,11136,1.2062,8,12,0,0.0,1,0,11,1,222.72,95,167.04,105.85,44.83000000000004,0.0831,1
CC-10003,52,Gold,32,78433,19085,0.0638,0.0717,612,7344,1.0338,27,7,1,245.09,3,0,9,1,146.88,95,110.16,89.75,287.06000000000006,0.2757,1
CC-10004,68,Standard,47,35241,5386,0.1119,0.0152,303,3636,1.2314,8,8,0,0.0,3,0,13,0,63.63,0,36.36,133.43,-106.16000000000003,0.0396,0
CC-10005,39,Standard,92,45153,5586,0.1058,0.0702,297,3564,1.5394,8,2,0,0.0,1,0,21,0,62.37,0,35.64,64.15,-37.42000000000001,0.0202,0
CC-10006,26,Standard,63,46820,5870,0.1302,0.1318,384,4608,0.9069,8,8,0,0.0,4,2,4,0,80.64,0,46.08,127.53,-92.97000000000001,0.3093,0
CC-10007,40,Platinum,102,197203,78115,0.0664,-0.1173,2607,31284,1.7923,8,42,0,0.0,2,1,13,1,703.89,295,688.25,80.56,230.08000000000004,0.0736,0
CC-10008,47,Gold,53,72305,14892,0.0818,-0.1933,612,7344,1.0138,27,11,2,245.2,1,2,20,0,146.88,95,110.16,58.33,318.59,0.5446,0
CC-10009,63,Gold,100,81158,17606,0.123,-0.0256,1088,13056,1.2347,8,12,0,0.0,0,0,18,1,261.12,95,195.84,38.09,122.19,0.0699,0
CC-10010,57,Standard,11,59165,9924,0.0423,-0.0695,211,2532,0.7667,8,9,0,0.0,1,0,17,0,44.31,0,25.32,70.62,-51.629999999999995,0.0761,0
