ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month,education_clean,marriage_clean,gender,churn_label,customer_id,avg_monthly_spend,annual_spend,avg_monthly_payment,current_utilization,utilization_6m_avg,utilization_trend,pay_to_bill_ratio,max_delay_months,delinquency_count,days_since_last_txn,transaction_count_monthly,card_tier,R_score,F_score,M_score,RFM_Score,rfm_segment,utilization_risk_flag,support_friction_score,interchange_revenue_annual,annual_fee,interest_paid_12m,reward_cost_annual,servicing_cost_annual,annual_net_margin,baseline_ltv,predicted_churn_prob,risk_decile,cost_fee_waiver,cost_points_boost,cost_apr_cut,cost_vip_perks,delta_ltv_fee_waiver,net_roi_fee_waiver,delta_ltv_points_boost,net_roi_points_boost,delta_ltv_apr_cut,net_roi_apr_cut,delta_ltv_vip_perks,net_roi_vip_perks,recommended_offer,expected_net_roi,offer_cost,retained_ltv_gain,campaign_target
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,University,Married,Female,1,CC-1,1284.0,15408.0,114.83,0.1956,0.0642,0.1314,0.0894,2,2,60,21,Standard,1,1,1,3,Dormant / Lost,0,5.0,269.64,0,704.16,231.12,90.0,652.68,738.07,0.78430325,1,50.0,231.12,120.0,150.0,764.75,714.75,0.0,-231.12,667.65,547.65,0.0,-150.0,No Offer (Budget Exceeded),714.75,50.0,764.75,False
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,University,Single,Female,1,CC-2,2846.17,34154.04,833.33,0.0223,0.0237,-0.0014,0.2928,2,2,13,41,Gold,2,1,1,4,Dormant / Lost,0,5.0,683.08,95,481.68,512.31,90.0,657.45,1638.48,0.30125684,3,95.0,512.31,120.0,150.0,1561.73,1466.73,1049.34,537.03,1263.82,1143.82,0.0,-150.0,No Offer (Budget Exceeded),1466.73,95.0,1561.73,False
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,University,Single,Female,0,CC-3,16942.17,203306.04,1836.33,0.3249,0.1882,0.1367,0.1084,0,0,9,120,Gold,3,2,3,8,Need Attention,0,0.0,4066.12,95,5263.38,3049.59,50.0,6324.91,38589.31,0.06390317,9,95.0,3049.59,120.0,150.0,13099.1,13004.1,9813.08,6763.49,0.0,-120.0,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,University,Married,Female,0,CC-4,38555.67,462668.04,1398.0,0.9398,0.7711,0.1687,0.0363,0,0,8,120,Standard,4,2,4,10,Loyal High Spenders,1,0.0,8096.69,0,8458.2,6940.02,50.0,9564.87,41632.5,0.12974526,6,50.0,6940.02,120.0,150.0,0.0,-50.0,17308.86,10368.84,20278.84,20158.84,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,University,Married,Male,0,CC-5,18223.17,218678.04,9841.5,0.1723,0.3645,-0.1922,0.54,0,0,5,120,Standard,4,2,3,9,Need Attention,0,0.0,3826.87,0,1550.7,3280.17,50.0,2047.4,11170.26,0.0832902,8,50.0,3280.17,120.0,150.0,0.0,-50.0,3456.18,176.01,0.0,-120.0,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,Graduate School,Single,Male,0,CC-6,39685.67,476228.04,1295.33,1.288,0.7937,0.4943,0.0326,0,0,2,120,Standard,5,2,4,11,Loyal High Spenders,1,0.0,8333.99,0,11592.0,7143.42,50.0,12732.569999999998,50169.27,0.15379222,5,50.0,7143.42,120.0,150.0,0.0,-50.0,23082.09,15938.67,27188.76,27068.76,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,Graduate School,Single,Male,0,CC-7,454099.17,5449190.04,30126.5,0.7359,0.9082,-0.1723,0.0663,0,0,14,120,Black,2,2,5,9,At-Risk High Value,0,0.0,136229.75,495,66231.0,81737.85,50.0,121167.9,793994.5,0.052605465,9,495.0,81737.85,120.0,150.0,229280.08,228785.08,173409.07,91671.22,198417.96,198297.96,157425.16,157275.16,No Offer (Low Risk),0.0,0.0,0.0,False
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,University,Single,Female,0,CC-8,2274.17,27290.04,798.5,0.1188,0.0225,0.0963,0.3511,0,0,6,33,Gold,4,1,1,6,Need Attention,0,0.0,545.8,95,2138.4,409.35,50.0,2319.85,10131.83,0.1289666,6,95.0,409.35,120.0,150.0,5851.89,5756.89,4196.73,3787.38,0.0,-120.0,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,High School,Married,Female,0,CC-9,10868.67,130424.04,1126.83,0.0806,0.0776,0.003,0.1037,2,1,6,120,Gold,4,2,2,8,Need Attention,0,3.5,2608.48,95,2031.12,1956.36,70.0,2708.2400000000007,9097.72,0.19768323,4,95.0,1956.36,120.0,150.0,6909.45,6814.45,4798.67,2842.31,5699.22,5579.22,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,High School,Single,Male,0,CC-10,4486.5,53838.0,2354.83,0.0,0.2243,-0.2243,0.5249,-1,0,4,61,Standard,5,2,2,9,Need Attention,0,0.0,942.17,0,0.0,807.57,50.0,84.59999999999991,383.79,0.120434016,6,50.0,807.57,120.0,150.0,0.0,-50.0,152.31,-655.26,0.0,-120.0,0.0,-150.0,No Offer (Low Risk),0.0,0.0,0.0,False
