customer_id,card_tier,LIMIT_BAL,avg_monthly_spend,predicted_churn_prob,rfm_segment,baseline_ltv,recommended_offer,offer_cost,expected_net_roi,roi_density
CC-1,Standard,20000.0,1284.0,0.7688594,Dormant / Lost,751.19,No Offer (Budget Exceeded),50.0,757.04,15.1408
CC-2,Gold,120000.0,2846.17,0.31385776,Need Attention,1588.59,No Offer (Budget Exceeded),95.0,1449.36,15.2564
CC-3,Gold,90000.0,16942.17,0.068191655,Dormant / Lost,37605.37,No Offer (Low Risk),0.0,0.0,0.0
CC-4,Standard,50000.0,38555.67,0.12073114,Need Attention,43332.67,No Offer (Low Risk),0.0,0.0,0.0
CC-5,Standard,50000.0,18223.17,0.0720353,Need Attention,11901.05,No Offer (Low Risk),0.0,0.0,0.0
CC-6,Standard,50000.0,39685.67,0.15026934,At-Risk High Value,50875.47,No Offer (Low Risk),0.0,0.0,0.0
CC-7,Black,500000.0,454099.17,0.05211853,Loyal High Spenders,796536.1,No Offer (Low Risk),0.0,0.0,0.0
CC-8,Gold,100000.0,2274.17,0.14074588,Need Attention,9636.09,No Offer (Low Risk),0.0,0.0,0.0
CC-9,Gold,140000.0,10868.67,0.19760625,Need Attention,9100.08,No Offer (Low Risk),0.0,0.0,0.0
CC-10,Standard,20000.0,4486.5,0.13553186,Need Attention,359.19,No Offer (Low Risk),0.0,0.0,0.0
CC-11,Platinum,200000.0,5744.5,0.24594642,Need Attention,7909.92,No Offer (Budget Exceeded),295.0,6500.53,22.0357
CC-12,Platinum,260000.0,14728.17,0.14865007,Need Attention,15119.64,No Offer (Low Risk),0.0,0.0,0.0
CC-13,Black,630000.0,6834.5,0.06481362,Need Attention,20955.55,No Offer (Low Risk),0.0,0.0,0.0
CC-14,Standard,70000.0,56447.5,0.44160712,At-Risk High Value,24754.9,Fee Waiver,50.0,27863.62,557.2723
CC-15,Platinum,250000.0,62265.17,0.03443475,Loyal High Spenders,138404.47,No Offer (Low Risk),0.0,0.0,0.0
CC-16,Standard,50000.0,32736.0,0.24223495,At-Risk High Value,29227.82,Fee Waiver,50.0,24854.99,497.0997
CC-17,Standard,20000.0,17693.5,0.55515033,Need Attention,4836.28,No Offer (Budget Exceeded),50.0,5879.82,117.5964
CC-18,Black,320000.0,161002.33,0.17796598,Loyal High Spenders,235121.15,No Offer (Low Risk),0.0,0.0,0.0
CC-19,Black,360000.0,0.0,0.4548079,Dormant / Lost,766.03,No Offer (Budget Exceeded),120.0,574.35,4.7862
CC-20,Platinum,180000.0,0.0,0.31856564,Dormant / Lost,537.55,No Offer (Budget Exceeded),120.0,304.82,2.5402
CC-21,Gold,130000.0,20647.17,0.04362221,Need Attention,57018.83,No Offer (Low Risk),0.0,0.0,0.0
CC-22,Gold,120000.0,316.0,0.27192098,Need Attention,322.97,No Offer (Budget Exceeded),95.0,197.48,2.0787
CC-23,Standard,70000.0,44245.83,0.8062728,At-Risk High Value,9482.32,Fee Waiver,50.0,9301.96,186.0392
CC-24,Black,450000.0,4494.17,0.12754585,Dormant / Lost,8668.58,No Offer (Low Risk),0.0,0.0,0.0
CC-25,Gold,90000.0,5310.67,0.09621127,Dormant / Lost,6204.43,No Offer (Low Risk),0.0,0.0,0.0
CC-26,Standard,50000.0,35715.83,0.12640369,Loyal High Spenders,42371.53,No Offer (Low Risk),0.0,0.0,0.0
CC-27,Standard,60000.0,64.33,0.16803817,Dormant / Lost,-253.96,No Offer (Low Risk),0.0,0.0,0.0
CC-28,Standard,50000.0,18711.33,0.08147828,Dormant / Lost,25174.03,No Offer (Low Risk),0.0,0.0,0.0
CC-29,Standard,50000.0,6701.33,0.1864259,Need Attention,527.33,No Offer (Low Risk),0.0,0.0,0.0
CC-30,Standard,50000.0,16180.33,0.12636387,Loyal High Spenders,14113.6,No Offer (Low Risk),0.0,0.0,0.0
CC-31,Platinum,230000.0,18957.67,0.046700846,Dormant / Lost,33732.25,No Offer (Low Risk),0.0,0.0,0.0
CC-32,Standard,50000.0,25311.5,0.655975,Dormant / Lost,8178.78,Fee Waiver,50.0,10530.67,210.6134
CC-33,Gold,100000.0,82539.5,0.098258056,Loyal High Spenders,109678.12,No Offer (Low Risk),0.0,0.0,0.0
CC-34,Black,500000.0,20957.33,0.048677158,Dormant / Lost,19908.1,No Offer (Low Risk),0.0,0.0,0.0
CC-35,Black,500000.0,9719.67,0.07449712,Dormant / Lost,23366.35,No Offer (Low Risk),0.0,0.0,0.0
CC-36,Platinum,160000.0,5044.17,0.08827314,Need Attention,32654.37,No Offer (Low Risk),0.0,0.0,0.0
CC-37,Platinum,280000.0,178329.5,0.07093241,Loyal High Spenders,291729.87,No Offer (Low Risk),0.0,0.0,0.0
CC-38,Standard,60000.0,10102.33,0.15218592,Need Attention,11748.44,No Offer (Low Risk),0.0,0.0,0.0
CC-39,Standard,50000.0,130.0,0.25549912,Dormant / Lost,-185.94,No Offer (Low Risk),0.0,0.0,0.0
CC-40,Platinum,280000.0,8607.17,0.13434364,Need Attention,4652.87,No Offer (Low Risk),0.0,0.0,0.0
CC-41,Black,360000.0,275125.17,0.06351134,At-Risk High Value,445348.56,No Offer (Low Risk),0.0,0.0,0.0
CC-42,Standard,70000.0,65476.0,0.09933871,At-Risk High Value,70574.55,No Offer (Low Risk),0.0,0.0,0.0
